reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3000,"Beaver, East",22,21,,21.0,15,,,,10.7,70.0,,5,15|21|21|10.7|70.0,,"22 EB3000 Beaver, East 15 21 21 10.7 70.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,15,21,21.0,10.7,70.0,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3160,"Book Cliffs, Bitter Creek/East",10,21,,21.0,8,,,,10.9,40.0,,5,8|21|21|10.9|40.0,,"10 EB3160 Book Cliffs, Bitter Creek/East 8 21 21 10.9 40.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,21,21.0,10.9,40.0,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3001,"Book Cliffs, Bitter Creek/South",10,2,,2.0,1,,,,9.5,50.0,,5,1|2|2|9.5|50.0,,"10 EB3001 Book Cliffs, Bitter Creek/South 1 2 2 9.5 50.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,2,2.0,9.5,50.0,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3002,"Book Cliffs, Little Creek Roadless",10,1,,1.0,1,,,,5.0,100.0,,5,1|1|1|5.0|100.0,,"10 EB3002 Book Cliffs, Little Creek Roadless 1 1 1 5.0 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,1,1.0,5.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3145,Boulder,25C/26,32,,32.0,21,,,,13.3,64.3,,5,21|32|32|13.3|64.3,,25C/26 EB3145 Boulder 21 32 32 13.3 64.3,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,21,32,32.0,13.3,64.3,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3130,"Box Elder, Pilot Mtn",1,4,,4.0,0,,,,14.0,0.0,,5,0|4|4|14.0|0.0,,"1 EB3130 Box Elder, Pilot Mtn 0 4 4 14.0 0.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,0,4,4.0,14.0,0.0,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3003,"Cache, Meadowville",2,11,,9.0,3,,,,5.2,33.3,,5,3|11|9|5.2|33.3,,"2 EB3003 Cache, Meadowville 3 11 9 5.2 33.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,11,9.0,5.2,33.3,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3005,"Cache, South",2,9,,9.0,3,,,,12.4,33.3,,5,3|9|9|12.4|33.3,,"2 EB3005 Cache, South 3 9 9 12.4 33.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,9,9.0,12.4,33.3,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,number harvest afield hunted rate (%),Elk,EB3020,Diamond Mtn,9C,25,,24.0,8,,,,12.4,35.0,,5,8|25|24|12.4|35.0,,9C EB3020 Diamond Mtn 8 25 24 12.4 35.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,25,24.0,12.4,35.0,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,,Elk,EB3008,"Fillmore, Pahvant",21,19,,19.0,9,,,,12.6,47.1,,5,9|19|19|12.6|47.1,,"21 EB3008 Fillmore, Pahvant 9 19 19 12.6 47.1",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,19,19.0,12.6,47.1,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,,Elk,EB3018,Fishlake/Thousand Lakes,25AB,87,,86.0,28,,,,13.8,32.1,,5,28|87|86|13.8|32.1,,25AB EB3018 Fishlake/Thousand Lakes 28 87 86 13.8 32.1,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,28,87,86.0,13.8,32.1,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,,Elk,EB3009,"La Sal, La Sal Mtns",13A,41,,38.0,11,,,,12.7,28.6,,5,11|41|38|12.7|28.6,,"13A EB3009 La Sal, La Sal Mtns 11 41 38 12.7 28.6",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,11,41,38.0,12.7,28.6,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,,Elk,EB3006,Manti,16B,170,,168.0,46,,,,12.6,27.2,,5,46|170|168|12.6|27.2,,16B EB3006 Manti 46 170 168 12.6 27.2,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,46,170,168.0,12.6,27.2,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,,Elk,EB3010,Monroe,23,19,,19.0,11,,,,11.8,57.9,,5,11|19|19|11.8|57.9,,23 EB3010 Monroe 11 19 19 11.8 57.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,11,19,19.0,11.8,57.9,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,,Elk,EB3011,Mt Dutton,24,18,,18.0,8,,,,11.8,47.1,,5,8|18|18|11.8|47.1,,24 EB3011 Mt Dutton 8 18 18 11.8 47.1,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,8,18,18.0,11.8,47.1,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,,Elk,EB3173,Nebo/San Pitch Mtns,16A,19,,19.0,5,,,,14.8,27.8,,5,5|19|19|14.8|27.8,,16A EB3173 Nebo/San Pitch Mtns 5 19 19 14.8 27.8,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,5,19,19.0,14.8,27.8,,,,,,
2024,2025,24_bg_report.pdf,72,Big Game,,Elk,EB3013,"North Slope, Three Corners",8C,8,,7.0,3,,,,11.8,50.0,,5,3|8|7|11.8|50.0,,"8C EB3013 North Slope, Three Corners 3 8 7 11.8 50.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,8,7.0,11.8,50.0,,,,,,
