source_file,hunt_code,hunt_name_subfile,permits_subfile,permits_master,comparison_status,hunt_name_master
2024 antlerless draw results.pdf,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",25,,missing_in_master,
2024 antlerless draw results.pdf,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",25,,missing_in_master,
2024 antlerless draw results.pdf,DA1003,"Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only",22,,missing_in_master,
2024 antlerless draw results.pdf,DA1009,"Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",174,,missing_in_master,
2024 antlerless draw results.pdf,DA1011,Cwmu Antlerless Deer - George Creek - Any Legal Weapon,4,,missing_in_master,
2024 antlerless draw results.pdf,DA1012,Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,12,,missing_in_master,
2024 antlerless draw results.pdf,DA1013,Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,4,,missing_in_master,
2024 antlerless draw results.pdf,DA1018,"Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only",34,,missing_in_master,
2024 antlerless draw results.pdf,DA1027,"Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon",44,,missing_in_master,
2024 antlerless draw results.pdf,DA1030,"Antlerless Deer - Nine Mile, Price River Valley - Archery",23,,missing_in_master,
2024 antlerless draw results.pdf,DA1031,"Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery",19,,missing_in_master,
2024 antlerless draw results.pdf,DA1033,"Antlerless Deer - San Juan, Monticello - Archery",8,,missing_in_master,
2024 antlerless draw results.pdf,DA1041,"Antlerless Deer - Nine Mile, Green River Valley - Any Legal Weapon",24,,missing_in_master,
2024 antlerless draw results.pdf,DA1042,"Antlerless Deer - San Juan, Monticello - Archery",9,,missing_in_master,
2024 antlerless draw results.pdf,DA1044,Two Doe Antlerless Deer - Myton - Any Legal Weapon,40,,missing_in_master,
2024 antlerless draw results.pdf,DA1045,"Antlerless Deer - Fillmore, Oak City - Archery",13,,missing_in_master,
2024 antlerless draw results.pdf,DA1046,"Antlerless Deer - Nine Mile, Price River Valley - Archery, Mzldr, Shotgn Only",22,,missing_in_master,
2024 antlerless draw results.pdf,DA1047,Two Doe Antlerless Deer - Vernal-ouray Valley - Any Legal Weapon,66,,missing_in_master,
2024 antlerless draw results.pdf,DA1048,Antlerless Deer - Fillmore City - Archery,13,,missing_in_master,
2024 antlerless draw results.pdf,DA1049,Antlerless Deer - Ashley Valley - Archery,67,,missing_in_master,
2024 antlerless draw results.pdf,DA1050,Cwmu Antlerless Deer - The Rose Of Snowville - Any Legal Weapon,7,,missing_in_master,
2024 antlerless draw results.pdf,EA1010,"Antlerless Elk - Cache, Rich - Any Legal Weapon",19,,missing_in_master,
2024 antlerless draw results.pdf,EA1011,"Antlerless Elk - Cache, Richards Hollow - Any Legal Weapon",18,,missing_in_master,
2024 antlerless draw results.pdf,EA1012,"Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",10,,missing_in_master,
2024 antlerless draw results.pdf,EA1013,Antlerless Elk - Central Manti - Any Legal Weapon,84,,missing_in_master,
2024 antlerless draw results.pdf,EA1015,Antlerless Elk - Ferron Canyon - Any Legal Weapon,57,,missing_in_master,
2024 antlerless draw results.pdf,EA1017,Antlerless Elk - Gordon Creek-price Canyon - Any Legal Weapon,70,,missing_in_master,
2024 antlerless draw results.pdf,EA1018,Antlerless Elk - Horn Mtn - Any Legal Weapon,79,,missing_in_master,
2024 antlerless draw results.pdf,EA1020,Antlerless Elk - Mohrland-stump Flat - Any Legal Weapon,94,,missing_in_master,
2024 antlerless draw results.pdf,EA1021,Antlerless Elk - Nebo - Any Legal Weapon,179,,missing_in_master,
2024 antlerless draw results.pdf,EA1022,Antlerless Elk - North Manti - Any Legal Weapon,250,,missing_in_master,
2024 antlerless draw results.pdf,EA1023,Antlerless Elk - South Manti - Any Legal Weapon,117,,missing_in_master,
2024 antlerless draw results.pdf,EA1024,Antlerless Elk - South Manti - Any Legal Weapon,112,,missing_in_master,
2024 antlerless draw results.pdf,EA1025,Antlerless Elk - West Manti - Any Legal Weapon,95,,missing_in_master,
2024 antlerless draw results.pdf,EA1026,Antlerless Elk - Chalk Creek - Any Legal Weapon,287,,missing_in_master,
2024 antlerless draw results.pdf,EA1030,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",56,,missing_in_master,
2024 antlerless draw results.pdf,EA1031,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",71,,missing_in_master,
2024 antlerless draw results.pdf,EA1033,Antlerless Elk - Kamas - Any Legal Weapon,108,,missing_in_master,
2024 antlerless draw results.pdf,EA1035,"Antlerless Elk - Kamas, Oakley - Any Legal Weapon",108,,missing_in_master,
2024 antlerless draw results.pdf,EA1037,"Antlerless Elk - La Sal, Dolores Triangle - Any Legal Weapon",68,,missing_in_master,
2024 antlerless draw results.pdf,EA1038,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",299,,missing_in_master,
2024 antlerless draw results.pdf,EA1039,"Antlerless Elk - La Sal, La Sal Mtns - Any Legal Weapon",234,,missing_in_master,
2024 antlerless draw results.pdf,EA1040,"Antlerless Elk - Monroe, Koosharem Valley - Any Legal Weapon",9,,missing_in_master,
2024 antlerless draw results.pdf,EA1044,"Antlerless Elk - Morgan-south Rich, South Rich - Any Legal Weapon",34,,missing_in_master,
2024 antlerless draw results.pdf,EA1049,"Antlerless Elk - Mt Dutton, Deep Creek - Any Legal Weapon",80,,missing_in_master,
2024 antlerless draw results.pdf,EA1054,"Antlerless Elk - Nine Mile, West Anthro - Any Legal Weapon",49,,missing_in_master,
2024 antlerless draw results.pdf,EA1056,"Antlerless Elk - North Slope, Greendale - Any Legal Weapon",5,,missing_in_master,
2024 antlerless draw results.pdf,EA1058,"Antlerless Elk - North Slope, Henry's Fork-burnt Fork - Any Legal Weapon",133,,missing_in_master,
2024 antlerless draw results.pdf,EA1060,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",17,,missing_in_master,
2024 antlerless draw results.pdf,EA1061,"Antlerless Elk - North Slope, West Daggett - Muzzleloader",18,,missing_in_master,
2024 antlerless draw results.pdf,EA1063,Antlerless Elk - Ogden - Any Legal Weapon,70,,missing_in_master,
2024 antlerless draw results.pdf,EA1064,Antlerless Elk - Ogden - Any Legal Weapon,45,,missing_in_master,
2024 antlerless draw results.pdf,EA1069,Antlerless Elk - Panguitch Lake - Any Legal Weapon,109,,missing_in_master,
2024 antlerless draw results.pdf,EA1073,Antlerless Elk - Paunsaugunt - Any Legal Weapon,17,,missing_in_master,
2024 antlerless draw results.pdf,EA1074,Antlerless Elk - Pine Valley - Any Legal Weapon,8,,missing_in_master,
2024 antlerless draw results.pdf,EA1075,Antlerless Elk - Boulder East - Any Legal Weapon,20,,missing_in_master,
2024 antlerless draw results.pdf,EA1076,Antlerless Elk - Boulder West - Any Legal Weapon,23,,missing_in_master,
2024 antlerless draw results.pdf,EA1077,Antlerless Elk - Boulder-circle Cliffs - Any Legal Weapon,20,,missing_in_master,
2024 antlerless draw results.pdf,EA1078,Antlerless Elk - Fishlake/thousand Lakes - Any Legal Weapon,152,,missing_in_master,
2024 antlerless draw results.pdf,EA1079,Antlerless Elk - Fishlake/thousand Lakes East - Any Legal Weapon,92,,missing_in_master,
2024 antlerless draw results.pdf,EA1080,Antlerless Elk - Fishlake/thousand Lakes West - Any Legal Weapon,69,,missing_in_master,
2024 antlerless draw results.pdf,EA1081,Antlerless Elk - San Juan - Any Legal Weapon,142,,missing_in_master,
2024 antlerless draw results.pdf,EA1082,Antlerless Elk - San Juan - Any Legal Weapon,152,,missing_in_master,
2024 antlerless draw results.pdf,EA1084,"Antlerless Elk - San Rafael, North - Any Legal Weapon",4,,missing_in_master,
2024 antlerless draw results.pdf,EA1085,Antlerless Elk - Vernal/bonanza - Archery,72,,missing_in_master,
2024 antlerless draw results.pdf,EA1087,Antlerless Elk - Vernal/bonanza - Any Legal Weapon,116,,missing_in_master,
2024 antlerless draw results.pdf,EA1089,Antlerless Elk - Diamond Mtn - Any Legal Weapon,54,,missing_in_master,
2024 antlerless draw results.pdf,EA1090,Antlerless Elk - Diamond Mtn - Any Legal Weapon,53,,missing_in_master,
2024 antlerless draw results.pdf,EA1094,Antlerless Elk - Mosby Mtn - Any Legal Weapon,83,,missing_in_master,
2024 antlerless draw results.pdf,EA1101,Antlerless Elk - Southwest Desert - Any Legal Weapon,253,,missing_in_master,
2024 antlerless draw results.pdf,EA1106,"Antlerless Elk - Wasatch Mtns, Avintaquin - Any Legal Weapon",170,,missing_in_master,
2024 antlerless draw results.pdf,EA1110,"Antlerless Elk - Wasatch Mtns, Salt Lake - Any Legal Weapon",35,,missing_in_master,
2024 antlerless draw results.pdf,EA1111,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",28,,missing_in_master,
2024 antlerless draw results.pdf,EA1112,"Antlerless Elk - Wasatch Mtns, Wallsburg - Any Legal Weapon",56,,missing_in_master,
2024 antlerless draw results.pdf,EA1113,"Antlerless Elk - Wasatch Mtns, West Heber - Any Legal Weapon",30,,missing_in_master,
