hunt_code,draw_rows,harvest_rows
EA1010,1,2
EA1011,1,2
EA1012,1,2
EA1013,1,2
EA1015,1,2
EA1017,1,1
EA1018,1,2
EA1020,1,2
EA1021,1,2
EA1022,1,2
EA1023,1,2
EA1024,1,2
EA1025,1,2
EA1026,1,2
EA1030,1,2
EA1031,1,2
EA1033,1,2
EA1035,1,2
EA1037,1,2
EA1038,1,2
EA1039,1,2
EA1040,1,2
EA1044,1,2
EA1049,1,2
EA1054,1,2
EA1056,1,2
EA1058,1,2
EA1060,1,1
EA1061,1,1
EA1063,1,2
EA1064,1,2
EA1069,1,2
EA1073,1,2
EA1074,1,2
EA1075,1,2
EA1076,1,2
EA1077,1,2
EA1078,1,2
EA1079,1,2
EA1080,1,2
EA1081,1,2
EA1082,1,2
EA1084,1,2
EA1085,1,1
EA1087,1,2
EA1089,1,2
EA1090,1,2
EA1094,1,2
EA1101,1,2
EA1106,1,2
EA1110,1,2
EA1111,1,2
EA1112,1,2
EA1113,1,2
EA1114,1,2
EA1116,1,2
EA1117,1,2
EA1118,1,1
EA1119,1,1
EA1120,1,1
EA1121,1,1
EA1122,1,1
EA1124,1,1
EA1125,1,1
EA1126,1,1
EA1129,1,1
EA1130,1,1
EA1131,1,1
EA1132,1,1
EA1134,1,1
EA1135,1,1
EA1136,1,1
EA1137,1,1
EA1138,1,1
EA1139,1,1
EA1140,1,1
EA1141,1,1
EA1142,1,1
EA1143,1,1
EA1145,1,1
EA1146,1,1
EA1147,1,1
EA1149,1,1
EA1151,1,1
EA1153,1,1
EA1156,1,1
EA1157,1,1
EA1158,1,1
EA1159,1,1
EA1160,1,1
EA1161,1,1
EA1162,1,1
EA1163,1,1
EA1164,1,1
EA1165,1,1
EA1166,1,1
EA1167,1,1
EA1168,1,1
EA1170,1,1
EA1171,1,1
EA1172,1,1
EA1174,1,1
EA1175,1,1
EA1176,1,1
EA1177,1,1
EA1187,1,2
EA1189,1,1
EA1192,1,1
EA1193,1,2
EA1196,1,2
EA1198,1,1
EA1200,1,1
EA1201,1,1
EA1203,1,2
EA1204,1,2
EA1206,1,2
EA1207,1,2
EA1208,1,2
EA1209,1,2
EA1217,1,2
EA1222,1,2
EA1223,1,2
EA1224,1,2
EA1225,1,1
EA1226,1,2
EA1228,1,2
EA1229,1,2
EA1231,1,2
EA1233,1,1
EA1234,1,1
EA1235,1,1
EA1236,1,2
EA1237,1,2
EA1239,1,2
EA1240,1,2
EA1242,1,2
EA1243,1,2
EA1244,1,2
EA1245,1,1
EA1250,1,2
EA1251,1,2
EA1252,1,2
EA1254,1,2
EA1256,1,1
EA1259,1,1
EA1260,1,1
EA1261,1,1
EA1264,1,2
EA1265,1,2
EA1266,1,2
EA1267,1,2
EA1268,1,1
EA1269,1,2
EA2033,1,2
EA2034,1,1
EA2036,1,2
EA2037,1,1
EA2038,1,1
EB1001,26,52
EB1002,26,52
EB1003,21,42
EB1004,21,42
EB1010,26,52
EB1012,1,1
EB3000,1,2
EB3002,1,2
EB3003,1,2
EB3005,1,2
EB3006,1,2
EB3008,1,2
EB3009,1,2
EB3010,1,2
EB3011,1,2
EB3013,1,2
EB3015,1,2
EB3018,1,2
EB3019,1,2
EB3020,1,2
EB3022,1,2
EB3024,1,2
EB3025,1,2
EB3028,1,2
EB3031,1,2
EB3032,1,2
EB3033,1,2
EB3036,1,2
EB3037,1,2
EB3038,1,2
EB3039,1,2
EB3042,1,2
EB3043,1,2
EB3044,1,3
EB3045,1,2
EB3046,1,2
EB3047,1,2
EB3048,1,2
EB3049,1,2
EB3050,1,2
EB3053,1,2
EB3056,1,2
EB3057,1,2
EB3063,1,2
EB3064,1,2
EB3065,1,2
EB3066,1,2
EB3067,1,2
EB3068,1,2
EB3069,1,2
EB3072,1,2
EB3073,1,2
EB3077,1,2
EB3079,1,2
EB3081,1,2
EB3083,1,2
EB3084,1,2
EB3086,1,2
EB3087,1,2
EB3088,1,2
EB3089,1,2
EB3091,1,2
EB3093,1,2
EB3096,1,2
EB3097,1,2
EB3098,1,2
EB3100,1,2
EB3102,1,2
EB3104,1,2
EB3105,1,2
