hunt_code,draw_rows
BI6500,1
BI6503,1
BI6504,1
BI6505,1
BI6506,1
BI6509,1
BI6516,1
BI6528,1
BI6529,1
BI6530,1
BI6531,1
BI6532,1
BI6534,1
BI6535,1
BI6536,1
BI6537,1
BR1008,1
BR1009,1
BR1010,1
BR1011,1
BR1012,1
BR1013,1
BR1015,1
BR1016,1
BR1017,1
BR7000,1
BR7001,1
BR7003,1
BR7004,1
BR7005,1
BR7007,1
BR7008,1
BR7009,1
BR7010,1
BR7011,1
BR7012,1
BR7013,1
BR7014,1
BR7015,1
BR7016,1
BR7017,1
BR7018,1
BR7019,1
BR7020,1
BR7100,1
BR7101,1
BR7102,1
BR7104,1
BR7105,1
BR7106,1
BR7108,1
BR7109,1
BR7110,1
BR7111,1
BR7112,1
BR7113,1
BR7114,1
BR7115,1
BR7116,1
BR7117,1
BR7118,1
BR7119,1
BR7120,1
BR7121,1
BR7122,1
BR7123,1
BR7124,1
BR7125,1
BR7200,1
BR7201,1
BR7203,1
BR7204,1
BR7205,1
BR7207,1
BR7208,1
BR7210,1
BR7211,1
BR7212,1
BR7213,1
BR7214,1
BR7215,1
BR7216,1
BR7217,1
BR7218,1
BR7219,1
BR7220,1
BR7221,1
BR7224,1
BR7225,1
BR7228,1
BR7229,1
BR7300,1
BR7301,1
BR7303,1
BR7304,1
BR7305,1
BR7307,1
BR7308,1
BR7309,1
BR7310,1
BR7311,1
BR7312,1
BR7313,1
BR7314,1
BR7315,1
BR7316,1
BR7317,1
BR7318,1
BR7320,1
BR7321,1
BR7322,1
BR7323,1
DA1001,1
DA1002,1
DA1003,1
DA1009,1
DA1011,1
DA1012,1
DA1013,1
DA1018,1
DA1027,1
DA1030,1
DA1031,1
DA1033,1
DA1041,1
DA1042,1
DA1044,1
DA1045,1
DA1046,1
DA1047,1
DA1048,1
DA1049,1
DA1050,1
DB1000,1
DB1001,1
DB1002,1
DB1003,1
DB1004,1
DB1005,1
DB1006,1
DB1007,1
DB1008,1
DB1010,1
DB1011,1
DB1012,1
DB1013,1
DB1014,1
DB1015,1
DB1016,1
DB1017,1
DB1018,1
DB1019,1
DB1020,1
DB1022,1
DB1023,1
DB1024,1
DB1025,1
DB1026,1
DB1028,1
DB1029,1
DB1030,1
DB1031,1
DB1032,1
DB1033,1
DB1034,1
DB1036,1
DB1037,1
DB1038,1
DB1039,1
DB1040,1
DB1041,1
DB1042,1
DB1043,1
DB1044,1
DB1045,1
DB1046,1
DB1047,1
DB1048,1
DB1053,1
DB1054,1
DB1055,1
DB1058,1
DB1059,1
DB1065,1
DB1073,1
DB1074,1
DB1077,1
DB1078,1
DB1079,1
DB1080,1
DB1081,1
DB1082,1
DB1083,1
DB1084,1
DB1085,1
DB1086,1
DB1087,1
DB1088,1
DB1089,1
DB1090,1
DB1091,1
DB1094,1
DB1100,1
DB1101,1
DB1103,1
DB1105,1
DB1200,1
DB1201,1
DB1202,1
DB1203,1
DB1204,1
DB1205,1
DB1206,1
DB1207,1
DB1208,1
DB1209,1
DB1211,1
DB1212,1
DB1213,1
DB1215,1
DB1217,1
DB1219,1
DB1222,1
DB1224,1
DB1227,1
DB1228,1
DB1229,1
DB1230,1
DB1231,1
DB1232,1
DB1233,1
DB1234,1
DB1236,1
DB1237,1
DB1238,1
DB1239,1
DB1240,1
DB1241,1
DB1242,1
DB1243,1
DB1244,1
DB1245,1
DB1246,1
DB1248,1
DB1249,1
DB1250,1
DB1251,1
DB1252,1
DB1253,1
DB1255,1
DB1256,1
DB1259,1
DB1260,1
DB1261,1
DB1263,1
DB1264,1
DB1265,1
DB1266,1
DB1269,1
DB1270,1
DB1271,1
DB1272,1
DB1273,1
DB1274,1
DB1275,1
DB1276,1
DB1277,1
DB1279,1
DB1280,1
DB1281,1
DB1282,1
DB1283,1
DB1285,1
DB1286,1
DB1287,1
DB1288,1
DB1289,1
DB1290,1
DB1291,1
DB1292,1
DB1293,1
DB1294,1
DB1295,1
DB1298,1
DB1299,1
DB1300,1
DB1301,1
DB1303,1
DB1304,1
DB1305,1
DB1306,1
DB1308,1
DB1309,1
DB1310,1
DB1312,1
DB1317,1
DB1320,1
DB1322,1
DB1324,1
DB1325,1
DB1326,1
DB1327,1
DB1328,1
DB1330,1
DB1331,1
DB1332,1
DB1333,1
DB1334,1
DB1335,1
DB1336,1
DB1337,1
DB1338,1
DB1341,1
DB1342,1
DB1343,1
DB1344,1
DB1345,1
DB1347,1
DB1348,1
DB1349,1
DS6600,1
DS6601,1
DS6602,1
DS6603,1
DS6604,1
DS6606,1
DS6607,1
DS6608,1
DS6609,1
DS6610,1
DS6611,1
DS6620,1
DS6621,1
DS6622,1
DS6623,1
DS6624,1
DS6625,1
GO6800,1
GO6801,1
GO6803,1
GO6804,1
GO6805,1
GO6806,1
GO6807,1
GO6808,1
GO6810,1
GO6813,1
GO6814,1
GO6817,1
GO6818,1
GO6819,1
GO6820,1
GO6821,1
GO6822,1
MA1005,1
MA1006,1
MB6000,1
MB6001,1
MB6002,1
MB6003,1
MB6004,1
MB6005,1
MB6006,1
MB6007,1
MB6008,1
MB6009,1
MB6010,1
MB6011,1
MB6200,1
MB6202,1
MB6206,1
MB6207,1
MB6208,1
MB6209,1
MB6211,1
MB6217,1
MB6219,1
MB6220,1
MB6222,1
MB6223,1
MB6224,1
MB6240,1
MB6251,1
MB6254,1
MB6256,1
MB6258,1
MB6259,1
MB6263,1
MB6264,1
MB6265,1
MB6266,1
PB5000,1
PB5001,1
PB5002,1
PB5003,1
PB5004,1
PB5005,1
PB5006,1
PB5008,1
PB5009,1
PB5011,1
PB5012,1
PB5013,1
PB5015,1
PB5016,1
PB5017,1
PB5018,1
PB5019,1
PB5020,1
PB5021,1
PB5024,1
PB5025,1
PB5026,1
PB5027,1
PB5028,1
PB5029,1
PB5030,1
PB5031,1
PB5033,1
PB5034,1
PB5035,1
PB5037,1
PB5038,1
PB5039,1
PB5040,1
PB5041,1
PB5042,1
PB5044,1
PB5045,1
PB5046,1
PB5047,1
PB5048,1
PB5049,1
PB5050,1
PB5051,1
PB5052,1
PB5053,1
PB5054,1
PB5055,1
PB5056,1
PB5059,1
PB5060,1
PB5061,1
PB5062,1
PB5065,1
PB5066,1
PB5072,1
PB5073,1
PB5074,1
PB5075,1
PB5076,1
PB5077,1
PB5078,1
PB5300,1
PB5302,1
PB5305,1
PB5306,1
PB5309,1
PB5311,1
PB5312,1
PB5313,1
PB5314,1
PB5315,1
PB5325,1
PB5326,1
PB5327,1
PB5328,1
PB5329,1
PB5330,1
PB5331,1
PB5332,1
PB5337,1
PB5339,1
PB5341,1
PB5342,1
PB5345,1
PD1000,1
PD1006,1
PD1012,1
PD1016,1
PD1017,1
PD1025,1
PD1026,1
PD1031,1
PD1032,1
PD1033,1
PD1034,1
PD1035,1
PD1043,1
PD1044,1
PD1045,1
PD1046,1
RE1000,1
RS6701,1
RS6703,1
RS6704,1
RS6708,1
RS6709,1
RS6712,1
RS6713,1
RS6720,1
RS6721,1
RS6722,1
RS6724,1
RS6725,1
RS6726,1
RS6727,1
