hunt_code,harvest_rows,example_source_file,example_hunt_name,example_species
EA2002,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,Morgan-South Rich,
EA2003,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,East Canyon,
EA2004,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,Chalk Creek,
EA2005,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,"North Slope, West Daggett",
EA2006,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,Yellowstone,
EA2008,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,"Nine Mile, Anthro-Myton Bench",
EA2009,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,"La Sal, La Sal Mtns",
EA2010,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,San Juan,
EA2011,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,Manti,
EA2012,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_limited_antlerless_2024_extract\ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,"Wasatch Mtns, West",
