Unit,Hunt number,Hunt name,Cow harvest,Calf harvest,Total harvest,Permits,Hunters afield,Mean days hunted,Success rate (%),Sex_type,Hunt_type,Weapon,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status,table_title,source_file,source_page
22,EA1222,"Beaver, East",12,0,12,29,26,3.9,45.8,Antlerless,General Season,Any Legal Weapon,EA1222,1,"Beaver, East",direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
22,EA1223,"Beaver, East",15,0,15,29,24,4.1,60.9,Antlerless,General Season,Any Legal Weapon,EA1223,1,"Beaver, East",direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
10,EA1224,"Book Cliffs, Bitter Creek/South",56,3,59,124,121,4.3,48.7,Antlerless,General Season,Any Legal Weapon,EA1224,1,"Book Cliffs, Bitter Creek/South",direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
25C/26,EA1075,Boulder East,7,2,9,15,12,3.3,75,Antlerless,General Season,Any Legal Weapon,EA1075,1,Boulder East,direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
25C/26,EA1076,Boulder West,9,1,10,20,17,3.6,60,Antlerless,General Season,Any Legal Weapon,EA1076,1,Boulder West,direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
25C/26,EA1077,Boulder-Circle Cliffs,14,0,14,20,19,4.6,76.5,Antlerless,General Season,Any Legal Weapon,EA1077,1,Boulder-Circle Cliffs,direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
1,EA1266,"Box Elder, Hansel Mtn",3,0,3,20,18,7.3,18.8,Antlerless,General Season,Any Legal Weapon,EA1266,1,"Box Elder, Hansel Mtn",direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
1,EA1203,"Box Elder, Pilot Mtn",3,0,3,5,5,4.5,50,Antlerless,General Season,Any Legal Weapon,EA1203,1,"Box Elder, Pilot Mtn",direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
1,EA1204,"Box Elder, Pilot Mtn",0,0,0,5,5,3.2,0,Antlerless,General Season,Any Legal Weapon,EA1204,1,"Box Elder, Pilot Mtn",direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
2,EA1267,Cache,18,1,19,120,112,6.1,17.3,Antlerless,General Season,Any Legal Weapon,EA1267,1,Cache,direct_hunt_number_from_pdf,mapped_to_2026_codes,"Limited-entry any legal weapon antlerless elk harvest, Utah 2024.",pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,1
