Unit,Unit name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
22,Beaver,54,55,45,42,51,46,41,50,57,57
10AC,"Book Cliffs, Bitter Creek/Little Creek",,43,,,,,,,,
25C/26,Boulder/Kaiparowits,52,,47,,52,60,52,54,63,63
1A,"Box Elder, Grouse Creek",57,50,,,41,54,22,,49,60
2,Cache,,,,,46,,,,48,59
6,Chalk Creek,42,53,,,,,,,54,50
9C,Diamond Mtn,,31,,,,,,,,
5,East Canyon,,,,,,,,,54,52
21B,"Fillmore, Pahvant",53,50,47,42,45,53,38,56,57,57
25AB,Fishlake/Thousand Lakes,51,48,52,50,46,47,47,54,49,49
13A,"La Sal, La Sal Mtns",53,41,41,50,37,58,47,39,55,48
16B,Manti,57,51,45,49,44,56,51,50,51,46
23,Monroe,51,48,54,52,47,51,44,55,52,52
4,Morgan-South Rich,,,,,,,,,52,44
24,Mt Dutton,52,46,53,40,59,54,45,57,72,72
16A,Nebo,56,47,61,,,54,60,69,64,72
11A,"Nine Mile, Anthro",,,36,,,,,,,
11B,"Nine Mile, Range Creek",45,44,,32,19,44,48,40,37,45
8C,"North Slope, Three Corners",,58,,,,,,,,
8B,"North Slope, West Daggett",,74,,,,,,,,
3,Ogden,,,,,,,,,49,56
18,Oquirrh-Stansbury,48,73,48,,45,,28,,57,
28,Panguitch Lake,51,49,38,47,47,54,43,50,67,67
27,Paunsaugunt,48,51,49,41,50,53,52,50,69,69
14,San Juan,47,43,43,44,52,54,51,46,43,50
20,Southwest Desert,47,25,55,42,26,51,31,46,55,55
17A,"Wasatch Mtns, West",58,58,56,,59,55,54,52,51,55
9A,Yellowstone,,36,,,,,,,,
29,Zion,,,50,,,,,,,
Statewide,averages,51,48,48,45,45,53,45,51,54,56
