source_file,source_page,hunt_code,hunt_name,totals_line,totals_numbers,res_total_permits,nr_total_permits,total_permits,parse_style
24_bg-odds.pdf,1,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery Page 17,Totals 482 5 4 9 1 in 53.6 Totals 786 0 1 1 1 in 786.0,482;5;4;9;786;0;1;1,9,1,10,res_nr_split
24_bg-odds.pdf,2,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery Page 18,Totals 734 12 11 23 1 in 31.9 Totals 884 2 1 3 1 in 294.7,734;12;11;23;884;2;1;3,23,3,26,res_nr_split
24_bg-odds.pdf,3,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon Page 19,Totals 2040 0 1 1 in 2040.0 Totals 0 0 0 0 N/A,2040;0;1;1;2040;0;0;0;0;0,1,0,1,res_nr_split
24_bg-odds.pdf,4,DB1003,Premium Le Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon Page 20,Totals 3441 12 12 24 1 in 143.4 Totals 3956 2 1 3 in 1318.7,3441;12;12;24;3956;2;1;3,24,3,27,res_nr_split
24_bg-odds.pdf,5,DB1004,Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon Page 21,Totals 4004 34 33 67 1 in 59.8 Totals 3566 4 3 7 1 in 509.4,4004;34;33;67;3566;4;3;7,67,7,74,res_nr_split
24_bg-odds.pdf,6,DB1005,Premium Le Muzzleloader Buck Deer - Henry Mtns - Muzzleloader Page 22,Totals 421 5 4 9 1 in 46.8 Totals 523 0 1 1 1 in 523.0,421;5;4;9;523;0;1;1,9,1,10,res_nr_split
24_bg-odds.pdf,7,DB1006,Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader Page 23,Totals 575 12 11 23 1 in 25.0 Totals 383 2 1 3 1 in 127.7,575;12;11;23;383;2;1;3,23,3,26,res_nr_split
24_bg-odds.pdf,8,DB1007,Multi-season Premium Limited-entry Buck Deer - Henry Mtns - Any Legal Weapon Page 24,Totals 540 0 1 1 1 in 540.0 Totals 0 0 0 0 N/A,540;0;1;1;0;0;0;0,1,0,1,res_nr_split
24_bg-odds.pdf,9,DB1008,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt - Any Legal Weapon Page 25,Totals 518 2 2 4 1 in 129.5 Totals 0 0 0 0 N/A,518;2;2;4;0;0;0;0,4,0,4,res_nr_split
24_bg-odds.pdf,10,DB1010,Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon Page 26,Totals 496 9 8 17 1 in 29.2 Totals 205 1 1 2 1 in 102.5,496;9;8;17;205;1;1;2,17,2,19,res_nr_split
24_bg-odds.pdf,11,DB1011,Limited-entry Archery Buck Deer - Book Cliffs - Archery Page 27,Totals 757 20 19 39 1 in 19.4 Totals 256 2 1 3 1 in 85.3,757;20;19;39;256;2;1;3,39,3,42,res_nr_split
24_bg-odds.pdf,12,DB1012,"Limited-entry Archery Buck Deer - Fillmore, Oak Creek Le - Archery Page 28",Totals 301 5 4 9 1 in 33.4 Totals 196 0 1 1 1 in 196.0,301;5;4;9;196;0;1;1,9,1,10,res_nr_split
24_bg-odds.pdf,13,DB1013,"Limited-entry Archery Buck Deer - La Sal, Dolores Triangle - Archery Page 29",Totals 103 2 2 4 1 in 25.8 Totals 0 0 0 0 N/A,103;2;2;4;0;0;0;0,4,0,4,res_nr_split
24_bg-odds.pdf,14,DB1014,"Limited-entry Archery Buck Deer - San Juan, Elk Ridge - Archery Page 30",Totals 551 7 6 13 1 in 42.4 Totals 338 1 1 2 1 in 169.0,551;7;6;13;338;1;1;2,13,2,15,res_nr_split
24_bg-odds.pdf,15,DB1015,Limited-entry Archery Buck Deer - Diamond Mtn - Archery Page 31,Totals 233 11 10 21 1 in 11.1 Totals 105 1 1 2 1 in 52.5,233;11;10;21;105;1;1;2,21,2,23,res_nr_split
24_bg-odds.pdf,16,DB1016,"Limited-entry Archery Buck Deer - West Desert, Vernon - Archery Page 32",Totals 373 18 18 36 1 in 10.4 Totals 93 2 1 3 1 in 31.0,373;18;18;36;93;2;1;3,36,3,39,res_nr_split
24_bg-odds.pdf,17,DB1017,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon Page 33",Totals 2408 43 43 86 1 in 28.0 Totals 719 5 4 9 1 in 79.9,2408;43;43;86;719;5;4;9,86,9,95,res_nr_split
24_bg-odds.pdf,18,DB1018,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon Page 34",Totals 725 11 10 21 1 in 34.5 Totals 271 1 1 2 1 in 135.5,725;11;10;21;271;1;1;2,21,2,23,res_nr_split
24_bg-odds.pdf,19,DB1019,"Limited-entry Alw (rifle) Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon Page 35",Totals 2421 12 11 23 1 in 105.3 Totals 1353 2 1 3 1 in 451.0,2421;12;11;23;1353;2;1;3,23,3,26,res_nr_split
24_bg-odds.pdf,20,DB1020,"Limited-entry Alw (rifle) Buck Deer - La Sal, Dolores Triangle - Any Legal Weapon Page 36",Totals 624 6 5 11 1 in 56.7 Totals 533 0 1 1 1 in 533.0,624;6;5;11;533;0;1;1,11,1,12,res_nr_split
24_bg-odds.pdf,21,DB1022,"Limited-entry Alw (rifle) Buck Deer - San Juan, Elk Ridge - Any Legal Weapon Page 37",Totals 947 19 18 37 1 in 25.6 Totals 641 2 1 3 1 in 213.7,947;19;18;37;641;2;1;3,37,3,40,res_nr_split
24_bg-odds.pdf,22,DB1023,Limited-entry Alw (rifle) Buck Deer - Diamond Mtn - Any Legal Weapon Page 38,Totals 1022 29 28 57 1 in 17.9 Totals 317 3 3 6 1 in 52.8,1022;29;28;57;317;3;3;6,57,6,63,res_nr_split
24_bg-odds.pdf,23,DB1024,"Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon Page 39",Totals 2716 52 52 104 1 in 26.1 Totals 559 6 5 11 1 in 50.8,2716;52;52;104;559;6;5;11,104,11,115,res_nr_split
24_bg-odds.pdf,24,DB1025,Limited-entry Muzzleloader Buck Deer - Book Cliffs - Muzzleloader Page 40,Totals 470 19 19 38 1 in 12.4 Totals 126 2 1 3 1 in 42.0,470;19;19;38;126;2;1;3,38,3,41,res_nr_split
24_bg-odds.pdf,25,DB1026,"Limited-entry Muzzleloader Buck Deer - Cache, Crawford Mtn - Muzzleloader Page 41",Totals 286 3 3 6 1 in 47.7 Totals 66 0 1 1 1 in 66.0,286;3;3;6;66;0;1;1,6,1,7,res_nr_split
24_bg-odds.pdf,26,DB1028,Limited-entry Muzzleloader Buck Deer - Fillmore - Muzzleloader Page 42,Totals 88 5 5 10 1 in 8.8 Totals 27 0 1 1 1 in 27.0,88;5;5;10;27;0;1;1,10,1,11,res_nr_split
24_bg-odds.pdf,27,DB1029,"Limited-entry Muzzleloader Buck Deer - Fillmore, Oak Creek Le - Muzzleloader Page 43",Totals 247 5 4 9 1 in 27.4 Totals 150 0 1 1 1 in 150.0,247;5;4;9;150;0;1;1,9,1,10,res_nr_split
24_bg-odds.pdf,28,DB1030,Limited-entry Muzzleloader Buck Deer - Kamas - Muzzleloader Page 44,Totals 19 3 2 5 1 in 3.8 Totals 3 0 1 1 1 in 3.0,19;3;2;5;3;0;1;1,5,1,6,res_nr_split
24_bg-odds.pdf,29,DB1031,"Limited-entry Muzzleloader Buck Deer - La Sal, Dolores Triangle - Muzzleloader Page 45",Totals 129 2 2 4 1 in 32.3 Totals 0 0 0 0 N/A,129;2;2;4;0;0;0;0,4,0,4,res_nr_split
