"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"EA1010","Elk","","","","","18","8.1","3.0","2.0","14.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1010","Elk","Cache, Rich","Antlerless","Any Legal Weapon","Female Only","20","15.0","2.0","13.3","3.4","2.7","2025","2026","harvest_2025.csv"
"EA1011","Elk","Cache, Richards Hollow","Antlerless","Any Legal Weapon","Female Only","10","6.0","1.0","16.7","3.8","2.7","2025","2026","harvest_2025.csv"
"EA1011","Elk","","","","","19","5.0","13.0","2.0","68.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1012","Elk","Cache, Richmond Hyde Park","Antlerless","Any Legal Weapon","Female Only","6","3.0","2.0","66.7","15.0","3.5","2025","2026","harvest_2025.csv"
"EA1012","Elk","","","","","5","8.6","1.0","2.0","20.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1013","Elk","Manti, Central","Antlerless","Any Legal Weapon","Female Only","68","65.0","32.0","49.2","4.1","3.7","2025","2026","harvest_2025.csv"
"EA1015","Elk","Manti, Ferron Canyon","Antlerless","Any Legal Weapon","Female Only","70","68.0","31.0","45.6","4.7","3.7","2025","2026","harvest_2025.csv"
"EA1017","Elk","Manti, Gordon Creek-Price Canyon","Antlerless","Any Legal Weapon","Female Only","95","84.0","28.0","33.3","9.5","2.9","2025","2026","harvest_2025.csv"
"EA1018","Elk","Manti, Horn Mtn","Antlerless","Any Legal Weapon","Female Only","59","53.0","37.0","69.8","5.7","3.7","2025","2026","harvest_2025.csv"
"EA1020","Elk","Manti, Mohrland-Stump Flat","Antlerless","Any Legal Weapon","Female Only","118","113.0","42.0","37.2","10.8","2.7","2025","2026","harvest_2025.csv"
"EA1021","Elk","Nebo","Antlerless","Any Legal Weapon","Female Only","227","209.0","93.0","44.5","4.3","3.4","2025","2026","harvest_2025.csv"
"EA1022","Elk","Manti, North","Antlerless","Any Legal Weapon","Female Only","292","269.0","94.0","34.9","4.7","3.4","2025","2026","harvest_2025.csv"
"EA1023","Elk","Manti, South","Antlerless","Any Legal Weapon","Female Only","98","93.0","33.0","35.5","4.4","3.5","2025","2026","harvest_2025.csv"
"EA1024","Elk","Manti, South","Antlerless","Any Legal Weapon","Female Only","98","94.0","59.0","62.8","7.3","4.0","2025","2026","harvest_2025.csv"
"EA1025","Elk","","","","","87","8.3","42.0","23.0","48.6","","2024","2025","harvest-metrics-2024-bg-report.csv"
