"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"MA1005","Moose","","","","","7","4.9","5.0","17.0","71.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MA1005","Moose","Morgan-South Rich","Antlerless","Any Legal Weapon","Female Only","8","8.0","3.0","37.5","3.6","3.1","2025","2026","harvest_2025.csv"
"MA1007","Moose","Morgan-South Rich","Antlerless","Archery","Female Only","3","2.0","2.0","100.0","8.0","3.0","2025","2026","harvest_2025.csv"
"MA1008","Moose","Wasatch Mtns, Salt Lake-Timpanogos","Antlerless","Any Legal Weapon","Female Only","5","5.0","5.0","100.0","4.0","4.4","2025","2026","harvest_2025.csv"
"MA1009","Moose","Causey Spring","CWMU Antlerless","Any Legal Weapon","Female Only","1","1.0","1.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"MA1010","Moose","Deseret","CWMU Antlerless","Any Legal Weapon","Female Only","3","3.0","3.0","100.0","2.0","5.0","2025","2026","harvest_2025.csv"
"MB1000","Moose","Moose - Statewide Permit","Sportsman","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","11.0","5.0","2025","2026","harvest_2025.csv"
"MB6000","Moose","","","","","16","7.4","16.0","6.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6000","Moose","Cache","OIAL","Any Legal Weapon","Male Only","16","16.0","16.0","100.0","8.4","4.4","2025","2026","harvest_2025.csv"
"MB6001","Moose","Chalk Creek","OIAL","Any Legal Weapon","Male Only","3","3.0","3.0","100.0","3.3","4.7","2025","2026","harvest_2025.csv"
"MB6002","Moose","","","","","4","12.3","4.0","5.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6002","Moose","East Canyon","OIAL","Any Legal Weapon","Male Only","5","5.0","5.0","100.0","11.0","4.2","2025","2026","harvest_2025.csv"
"MB6003","Moose","East Canyon, Morgan-Summit","OIAL","Any Legal Weapon","Male Only","5","5.0","5.0","100.0","5.5","3.8","2025","2026","harvest_2025.csv"
"MB6003","Moose","","","","","3","22.3","2.0","7.0","66.7","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6004","Moose","Kamas","OIAL","Any Legal Weapon","Male Only","5","5.0","4.0","80.0","10.2","4.4","2025","2026","harvest_2025.csv"
"MB6004","Moose","","","","","5","10.3","5.0","4.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6005","Moose","","","","","5","9.8","4.0","8.0","80.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6005","Moose","Morgan-South Rich","OIAL","Any Legal Weapon","Male Only","6","6.0","5.0","83.3","6.3","4.5","2025","2026","harvest_2025.csv"
"MB6006","Moose","North Slope, Summit","OIAL","Any Legal Weapon","Male Only","26","25.0","24.0","96.0","7.7","4.4","2025","2026","harvest_2025.csv"
"MB6006","Moose","","","","","27","6.1","27.0","8.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6007","Moose","North Slope, Three Corners/West Daggett","OIAL","Any Legal Weapon","Male Only","8","8.0","8.0","100.0","9.9","3.9","2025","2026","harvest_2025.csv"
"MB6007","Moose","","","","","9","3.2","9.0","3.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6008","Moose","Ogden","OIAL","Any Legal Weapon","Male Only","7","7.0","7.0","100.0","8.0","4.7","2025","2026","harvest_2025.csv"
"MB6009","Moose","Diamond Mtn/Vernal","OIAL","Any Legal Weapon","Male Only","2","2.0","1.0","50.0","8.0","1.0","2025","2026","harvest_2025.csv"
"MB6009","Moose","","","","","2","7.0","2.0","5.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6010","Moose","Yellowstone","OIAL","Any Legal Weapon","Male Only","5","5.0","5.0","100.0","10.5","5.0","2025","2026","harvest_2025.csv"
"MB6011","Moose","Wasatch Mtns/Central Mtns","OIAL","Any Legal Weapon","Male Only","23","23.0","20.0","87.0","11.0","4.2","2025","2026","harvest_2025.csv"
"MB6012","Moose","Box Elder","OIAL","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","4.5","4.5","2025","2026","harvest_2025.csv"
"MB6200","Moose","Bear Springs","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","4.5","4.5","2025","2026","harvest_2025.csv"
"MB6202","Moose","Causey Spring","CWMU","Any Legal Weapon","Male Only","4","4.0","4.0","100.0","1.7","5.0","2025","2026","harvest_2025.csv"
"MB6202","Moose","","","","","3","2.0","3.0","4.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6206","Moose","Deseret","CWMU","Any Legal Weapon","Male Only","3","3.0","3.0","100.0","3.3","5.0","2025","2026","harvest_2025.csv"
"MB6206","Moose","","","","","4","3.8","4.0","4.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6207","Moose","Durst Mountain","CWMU","Any Legal Weapon","Male Only","2","2.0","1.0","50.0","2.0","4.5","2025","2026","harvest_2025.csv"
"MB6208","Moose","","","","","5","4.0","4.0","6.0","75.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6208","Moose","East Fork Chalk Creek","CWMU","Any Legal Weapon","Male Only","5","5.0","5.0","100.0","4.3","5.0","2025","2026","harvest_2025.csv"
"MB6209","Moose","Ensign Ranches","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","3.0","5.0","2025","2026","harvest_2025.csv"
"MB6211","Moose","","","","","9","1.7","9.0","5.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6211","Moose","Grass Valley/Clark Canyon","CWMU","Any Legal Weapon","Male Only","8","8.0","8.0","100.0","1.8","4.8","2025","2026","harvest_2025.csv"
"MB6217","Moose","Sharp Mountain","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"MB6219","Moose","","","","","6","2.8","6.0","3.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6219","Moose","Skull Crack","CWMU","Any Legal Weapon","Male Only","5","5.0","5.0","100.0","2.3","5.0","2025","2026","harvest_2025.csv"
"MB6220","Moose","South Canyon","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","1.5","4.5","2025","2026","harvest_2025.csv"
"MB6222","Moose","","","","","3","4.0","3.0","17.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6222","Moose","Strawberry Ridge","CWMU","Any Legal Weapon","Male Only","3","3.0","3.0","100.0","2.7","5.0","2025","2026","harvest_2025.csv"
"MB6223","Moose","Three C","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","5.5","4.5","2025","2026","harvest_2025.csv"
"MB6224","Moose","Two Bear","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"MB6225","Moose","Wallsburg","CWMU","Any Legal Weapon","Male Only","1","1.0","0.0","0.0","4.0","4.0","2025","2026","harvest_2025.csv"
"MB6240","Moose","Chimney Rock","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","4.0","5.0","2025","2026","harvest_2025.csv"
"MB6251","Moose","Hardscrabble","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","5.5","4.5","2025","2026","harvest_2025.csv"
"MB6251","Moose","","","","","2","2.5","2.0","5.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6254","Moose","SJ Ranch","CWMU","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"MB6256","Moose","Woodruff Creek South","CWMU","Any Legal Weapon","Male Only","4","4.0","4.0","100.0","4.3","5.0","2025","2026","harvest_2025.csv"
"MB6256","Moose","","","","","3","5.3","3.0","164.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6257","Moose","Ingham Peak","CWMU","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","2.0","5.0","2025","2026","harvest_2025.csv"
"MB6258","Moose","","","","","3","3.3","3.0","1.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6258","Moose","Jacob's Creek","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","2.5","5.0","2025","2026","harvest_2025.csv"
"MB6259","Moose","Royal Ivory Outfitters","CWMU","Any Legal Weapon","Male Only","3","3.0","3.0","100.0","2.5","5.0","2025","2026","harvest_2025.csv"
"MB6262","Moose","","","","","2","2.0","2.0","17.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6262","Moose","Junction Valley","CWMU","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","3.0","5.0","2025","2026","harvest_2025.csv"
"MB6263","Moose","Moon Ranch","CWMU","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","5.0","5.0","2025","2026","harvest_2025.csv"
"MB6265","Moose","","","","","1","1.0","1.0","17.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"MB6266","Moose","Weber Florence Creek/Stillman Creek","CWMU","Any Legal Weapon","Male Only","8","8.0","8.0","100.0","4.0","4.8","2025","2026","harvest_2025.csv"
"MB6266","Moose","","","","","9","3.9","9.0","4.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"PB1000","Moose","Pronghorn - Statewide Permit","Sportsman","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","3.0","3.5","2025","2026","harvest_2025.csv"
