hunt_code,species,hunt_name,hunt_type,weapon,sex_type,permits_total,hunters,harvest,percent_success,avg_days,satisfaction,year,prediction_year,source_file
BI6530,,,,,,5,5,0,100,4.3,,2024,2025,harvest-metrics-2024-bg-report.csv
DA1044,,,,,,28,3.8,28,11,70.8,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1082,,,,,,13,4.7,12,28,92.3,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1276,,,,,,2,1,2,1,100,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1307,,,,,,44,4.1,28,6,64.7,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1324,,,,,,4,6,2,1,50,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1338,,,,,,3,1,0,1,0,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1515,,,,,,407,7.3,65,28,16,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1532,,,,,,1886,4.3,512,6,27.2,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1545,,,,,,1168,4.1,610,28,52.2,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1548,,,,,,946,4.3,505,1,53.4,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1562,,,,,,610,4.3,100,6,16.3,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1575,,,,,,386,3.9,117,28,30.3,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1578,,,,,,297,4.4,107,1,35.9,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1774,,,,,,71,9.2,19,5,27.1,,2024,2025,harvest-metrics-2024-bg-report.csv
DB1784,,,,,,274,7.6,115,28,42,,2024,2025,harvest-metrics-2024-bg-report.csv
DS1001,,,,,,1,3,1,26,100,,2024,2025,harvest-metrics-2024-bg-report.csv
DS1005,,,,,,1,9,1,12,100,,2024,2025,harvest-metrics-2024-bg-report.csv
DS6602,,,,,,8,10.3,7,26,87.5,,2024,2025,harvest-metrics-2024-bg-report.csv
EA1040,,,,,,4,2.5,1,90,25,,2024,2025,harvest-metrics-2024-bg-report.csv
EA1074,,,,,,3,9.3,0,30,0,,2024,2025,harvest-metrics-2024-bg-report.csv
EA1116,,,,,,15,7.7,0,29,0,,2024,2025,harvest-metrics-2024-bg-report.csv
EA1126,,,,,,3,3,0,4,0,,2024,2025,harvest-metrics-2024-bg-report.csv
EB3001,,,,,,2,9.5,1,10,50,,2024,2025,harvest-metrics-2024-bg-report.csv
EB3026,,,,,,2,2.5,2,10,100,,2024,2025,harvest-metrics-2024-bg-report.csv
EB3078,,,,,,1,3,1,10,100,,2024,2025,harvest-metrics-2024-bg-report.csv
EB3561,,,,,,50,3.3,43,17,86.8,,2024,2025,harvest-metrics-2024-bg-report.csv
EB3563,,,,,,89,3.7,70,6,79,,2024,2025,harvest-metrics-2024-bg-report.csv
EB3609,,,,,,19,4.8,18,17,94.4,,2024,2025,harvest-metrics-2024-bg-report.csv
EB3616,,,,,,3,5,3,17,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LD0001,,,,,,5,4,5,27,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LD0003,,,,,,1,7,0,19,0,,2024,2025,harvest-metrics-2024-bg-report.csv
LD0007,,,,,,1,2,1,27,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0001,,,,,,1,3,1,20,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0006,,,,,,1,5,0,14,0,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0007,,,,,,1,10,0,17,0,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0008,,,,,,1,1,1,17,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0011,,,,,,1,1,1,85,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0013,,,,,,1,7,1,22,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0014,,,,,,1,6,1,2,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0016,,,,,,1,9,0,2,0,,2024,2025,harvest-metrics-2024-bg-report.csv
LE0017,,,,,,1,1,1,14,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LP0001,,,,,,1,3,1,10,100,,2024,2025,harvest-metrics-2024-bg-report.csv
LP0002,,,,,,2,4,0,19,0,,2024,2025,harvest-metrics-2024-bg-report.csv
MA1006,,,,,,5,5.8,3,163,60,,2024,2025,harvest-metrics-2024-bg-report.csv
MB6200,,,,,,2,10,2,4,100,,2024,2025,harvest-metrics-2024-bg-report.csv
MB6207,,,,,,2,3,2,6,100,,2024,2025,harvest-metrics-2024-bg-report.csv
MB6209,,,,,,2,2.5,2,6,100,,2024,2025,harvest-metrics-2024-bg-report.csv
MB6217,,,,,,2,3.5,2,2,100,,2024,2025,harvest-metrics-2024-bg-report.csv
MB6220,,,,,,2,4.5,1,2,50,,2024,2025,harvest-metrics-2024-bg-report.csv
MB6223,,,,,,2,5.5,2,6,100,,2024,2025,harvest-metrics-2024-bg-report.csv
MB6224,,,,,,1,3,1,17,100,,2024,2025,harvest-metrics-2024-bg-report.csv
MB6225,,,,,,1,4,1,6,100,,2024,2025,harvest-metrics-2024-bg-report.csv
