"source_hunt_number","hunt_name","weapon","source_boundary_id","el_candidates"
"LE0002","Manti","Any Legal Weapon","51","EL3006;EL3038;EL3039;EL3084;EL3126;EL3172"
"LE0003","Manti","Any Legal Weapon","51","EL3006;EL3038;EL3039;EL3084;EL3126;EL3172"
"LE0004","Manti","Any Legal Weapon","51","EL3006;EL3038;EL3039;EL3084;EL3126;EL3172"
"LE0005","Manti","Any Legal Weapon","51","EL3006;EL3038;EL3039;EL3084;EL3126;EL3172"
"LE0006","San Juan","Any Legal Weapon","710","EL3019;EL3066;EL3067;EL3097;EL3193;EL3194"
"LE0007","San Juan","Any Legal Weapon","710","EL3019;EL3066;EL3067;EL3097;EL3193;EL3194"
"LE0008","Wasatch Mtns","Any Legal Weapon","222","EL3022;EL3072;EL3073;EL3100;EL3127;EL3199"
"LE0009","Wasatch Mtns","Any Legal Weapon","222","EL3022;EL3072;EL3073;EL3100;EL3127;EL3199"
"LE0011","Manti","Muzzleloader","51","EL3006;EL3038;EL3039;EL3084;EL3126;EL3172"
"LE0014","Beaver","Any Legal Weapon","685","EL3000;EL3024;EL3025;EL3077;EL3158;EL3159"
"LE0016","Cache","Any Legal Weapon","29","EL3003;EL3005;EL3032;EL3033;EL3036;EL3037;EL3081;EL3083;EL3132;EL3139;EL3168;EL3169;EL3170;EL3171"
"LE0017","Nebo","Any Legal Weapon","616","EL3173;EL3174;EL3175;EL3176;EL3177;EL3179"
"LE0018","La Sal, La Sal Mtns","Any Legal Weapon","617","EL3009;EL3045;EL3046;EL3087;EL3182;EL3183"
"LE0029","Cache","Any Legal Weapon","29","EL3003;EL3005;EL3032;EL3033;EL3036;EL3037;EL3081;EL3083;EL3132;EL3139;EL3168;EL3169;EL3170;EL3171"
