"source_hunt_number","source_hunt_name","source_weapon","candidate","candidate_weapon","candidate_hunt_type","candidate_season_dates","early_marker","september_marker"
"LE0002","Manti","Any Legal Weapon","EL3006","Archery","Limited Entry - Private Land Only","","False","False"
"LE0002","Manti","Any Legal Weapon","EL3038","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0002","Manti","Any Legal Weapon","EL3039","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0002","Manti","Any Legal Weapon","EL3084","Muzzleloader","Limited Entry - Private Land Only","","False","False"
"LE0002","Manti","Any Legal Weapon","EL3126","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0002","Manti","Any Legal Weapon","EL3172","Archery","Limited Entry - Private Land Only","","False","False"
"LE0003","Manti","Any Legal Weapon","EL3006","Archery","Limited Entry - Private Land Only","","False","False"
"LE0003","Manti","Any Legal Weapon","EL3038","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0003","Manti","Any Legal Weapon","EL3039","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0003","Manti","Any Legal Weapon","EL3084","Muzzleloader","Limited Entry - Private Land Only","","False","False"
"LE0003","Manti","Any Legal Weapon","EL3126","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0003","Manti","Any Legal Weapon","EL3172","Archery","Limited Entry - Private Land Only","","False","False"
"LE0004","Manti","Any Legal Weapon","EL3006","Archery","Limited Entry - Private Land Only","","False","False"
"LE0004","Manti","Any Legal Weapon","EL3038","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0004","Manti","Any Legal Weapon","EL3039","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0004","Manti","Any Legal Weapon","EL3084","Muzzleloader","Limited Entry - Private Land Only","","False","False"
"LE0004","Manti","Any Legal Weapon","EL3126","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0004","Manti","Any Legal Weapon","EL3172","Archery","Limited Entry - Private Land Only","","False","False"
"LE0005","Manti","Any Legal Weapon","EL3006","Archery","Limited Entry - Private Land Only","","False","False"
"LE0005","Manti","Any Legal Weapon","EL3038","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0005","Manti","Any Legal Weapon","EL3039","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0005","Manti","Any Legal Weapon","EL3084","Muzzleloader","Limited Entry - Private Land Only","","False","False"
"LE0005","Manti","Any Legal Weapon","EL3126","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0005","Manti","Any Legal Weapon","EL3172","Archery","Limited Entry - Private Land Only","","False","False"
"LE0006","San Juan","Any Legal Weapon","EL3019","Archery","Limited Entry - Private Land Only","","False","False"
"LE0006","San Juan","Any Legal Weapon","EL3066","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0006","San Juan","Any Legal Weapon","EL3067","Any Legal Weapon","Limited Entry - Private Land Only","","False","False"
"LE0006","San Juan","Any Legal Weapon","EL3097","Muzzleloader","Limited Entry - Private Land Only","","False","False"
"LE0006","San Juan","Any Legal Weapon","EL3193","Archery","Limited Entry - Private Land Only","","False","False"
