record_id,record_type,library_title,library_species,library_category,library_area,library_condition,library_source_pdf,document_file_status,database_match_status,database_hunt_code,database_hunt_name,database_species,database_hunt_type,database_season,database_permits_2026_res,database_permits_2026_nr,database_permits_2026_total,database_permits_2026_source,database_permit_allotment_2026_status,reconciliation_issue
doc_2025_big_game_field_regulations,document,2025 Big Game Field Regulations,Big Game,Field Regulations,,,2025-big-game-field-regulations.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
doc_2025_big_game_harvest_results,document,2025 Big Game Harvest Results,Big Game,Harvest Results,,,2025-big-game-harvest-results.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
doc_2025_big_game_permit_draw_results,document,2025 Big Game Permit Draw Results,Big Game,Draw Results,,,2025-big-game-draw-results.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
doc_2026_big_game_application_guidebook,document,2026 Big Game Application Guidebook,Big Game,Application Guidebook,,,2026-big-game-application-guidebook.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
doc_2025_bear_draw_results,document,2025 Bear Draw Results,Bear,Draw Results,,,2025-black-bear-draw-odds.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,Public document row is not present in public/hard-copy/data/documents.json
doc_2026_bear_application_guidebook,document,2026 Bear Application Guidebook,Bear,Application Guidebook,,,2026-bear-application-guidebook.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
doc_2025_turkey_draw_results,document,2025 Turkey Draw Results,Turkey,Draw Results,,,2025-turkey-draw-results.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
doc_2025_26_upland_game_turkey_guidebook,document,2025–26 Upland Game Turkey Guidebook,Turkey,Field Regulations,,,2025-26-upland-game-turkey-guidebook.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
doc_2026_expo_draw_results,document,2026 Expo Draw Results,Expo Draw,Draw Results,,,2026-expo-draw-results.pdf,FOUND,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
doc_2022_2024_conservation_permits,document,2022–2024 Conservation Permits,Multi-Species,Conservation Permits,,,2022-24_conservation_permits.pdf,MISSING_SOURCE_PATH,DOCUMENT_ROW_NOT_HUNT_CODED,,,,,,,,,,,
permit_2022_2024_conservation_0001,permit_allocation,"2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Manti-North",Black Bear,Conservation Permits,"Central Mtns, Manti-North",Multiseason,2022-24_conservation_permits.pdf,,MATCH_REVIEW,BR7303,Manti North,Black Bear,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,,,Fuzzy match score 0.50; owner review required.
permit_2022_2024_conservation_0002,permit_allocation,"2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Manti-South/San Rafael, North",Black Bear,Conservation Permits,"Central Mtns, Manti-South/San Rafael, North",Multiseason,2022-24_conservation_permits.pdf,,MATCH_REVIEW,BR7304,Manti South/San Rafael North,Black Bear,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,,,Fuzzy match score 0.71; owner review required.
permit_2022_2024_conservation_0003,permit_allocation,"2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Manti-South/San Rafael, North",Black Bear,Conservation Permits,"Central Mtns, Manti-South/San Rafael, North",Multiseason,2022-24_conservation_permits.pdf,,MATCH_REVIEW,BR7304,Manti South/San Rafael North,Black Bear,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,,,Fuzzy match score 0.71; owner review required.
permit_2022_2024_conservation_0004,permit_allocation,"2022-2024 Mule Deer Foundation Black Bear - Central Mtns, Nebo",Black Bear,Conservation Permits,"Central Mtns, Nebo",Multiseason,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,BR7316,Wasatch Mtns West-Central,Black Bear,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",14,1,15,,,Best fuzzy match score 0.40; tied/weak candidates require review.
permit_2022_2024_conservation_0005,permit_allocation,2022-2024 Mule Deer Foundation Black Bear - Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Conservation Permits,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Conservation,"March 29 - May 26, 2025 | Jul 5 - 31, 2025 | Aug 1 - 31, 2025 | Sept 1 - Oct 26, 2025 | Nov 3 - 9, 2025 | Sept 1 - Oct 26, 2025",,,,,,Best fuzzy match score 1.00; tied/weak candidates require review.
permit_2022_2024_conservation_0006,permit_allocation,2022-2024 Mule Deer Foundation Black Bear - La Sal,Black Bear,Conservation Permits,La Sal,Multiseason,2022-24_conservation_permits.pdf,,MATCH_HIGH,BR7307,La Sal,Black Bear,Multiseason - Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,,,,
permit_2022_2024_conservation_0007,permit_allocation,2022-2024 Mule Deer Foundation Black Bear - La Sal,Black Bear,Conservation Permits,La Sal,Multiseason,2022-24_conservation_permits.pdf,,MATCH_HIGH,BR7307,La Sal,Black Bear,Multiseason - Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,,,,
