hunt_code,year,residency,points,point_creep_1yr,point_creep_3yr,forecast_applicants
BI6500,2026,Resident,30,-1.0,-3.0,3
BI6500,2026,Resident,29,-1.0,-3.0,8
BI6500,2026,Resident,28,-1.0,-3.0,14
BI6500,2026,Resident,27,-1.0,-3.0,20
BI6500,2026,Resident,26,-1.0,-3.0,24
BI6500,2026,Resident,25,-1.0,-3.0,29
BI6500,2026,Resident,24,-1.0,-3.0,38
BI6500,2026,Resident,23,-1.0,-3.0,39
BI6500,2026,Resident,22,-1.0,-3.0,37
BI6500,2026,Resident,21,-1.0,-3.0,38
BI6500,2026,Resident,20,-1.0,-3.0,34
BI6500,2026,Resident,19,-1.0,-3.0,41
BI6500,2026,Resident,18,-1.0,-3.0,43
BI6500,2026,Resident,17,-1.0,-3.0,37
BI6500,2026,Resident,16,-1.0,-3.0,47
BI6500,2026,Resident,15,-1.0,-3.0,54
BI6500,2026,Resident,14,-1.0,-3.0,59
BI6500,2026,Resident,13,-1.0,-3.0,78
BI6500,2026,Resident,12,-1.0,-3.0,75
BI6500,2026,Resident,11,-1.0,-3.0,83
BI6500,2026,Resident,10,-1.0,-3.0,103
BI6500,2026,Resident,9,-1.0,-3.0,137
BI6500,2026,Resident,8,-1.0,-3.0,156
BI6500,2026,Resident,7,-1.0,-3.0,171
BI6500,2026,Resident,6,-1.0,-3.0,182
BI6500,2026,Resident,5,-1.0,-3.0,226
BI6500,2026,Resident,4,-1.0,-3.0,254
BI6500,2026,Resident,3,-1.0,-3.0,273
BI6500,2026,Resident,2,-1.0,-3.0,319
BI6500,2026,Resident,1,-1.0,-3.0,137
BI6500,2026,Resident,0,-1.0,-3.0,489
BI6503,2026,Nonresident,29,-1.0,-3.0,3
BI6503,2026,Nonresident,28,-1.0,-3.0,5
BI6503,2026,Nonresident,27,-1.0,-3.0,12
BI6503,2026,Nonresident,26,-1.0,-3.0,11
BI6503,2026,Nonresident,25,-1.0,-3.0,12
BI6503,2026,Nonresident,24,-1.0,-3.0,14
BI6503,2026,Nonresident,23,-1.0,-3.0,24
BI6503,2026,Nonresident,22,-1.0,-3.0,19
BI6503,2026,Nonresident,21,-1.0,-3.0,16
BI6503,2026,Nonresident,20,-1.0,-3.0,24
BI6503,2026,Nonresident,19,-1.0,-3.0,26
BI6503,2026,Nonresident,18,-1.0,-3.0,31
BI6503,2026,Nonresident,17,-1.0,-3.0,221
BI6503,2026,Nonresident,16,-1.0,-3.0,242
BI6503,2026,Nonresident,15,-1.0,-3.0,151
BI6503,2026,Nonresident,14,-1.0,-3.0,137
BI6503,2026,Nonresident,13,-1.0,-3.0,133
BI6503,2026,Nonresident,12,-1.0,-3.0,131
BI6503,2026,Nonresident,11,-1.0,-3.0,143
BI6503,2026,Nonresident,10,-1.0,-3.0,158
BI6503,2026,Nonresident,9,-1.0,-3.0,183
BI6503,2026,Nonresident,8,-1.0,-3.0,216
BI6503,2026,Nonresident,7,-1.0,-3.0,243
BI6503,2026,Nonresident,6,-1.0,-3.0,244
BI6503,2026,Nonresident,5,-1.0,-3.0,221
BI6503,2026,Nonresident,4,-1.0,-3.0,212
BI6503,2026,Nonresident,3,-1.0,-3.0,234
BI6503,2026,Nonresident,2,-1.0,-3.0,279
BI6503,2026,Nonresident,1,-1.0,-3.0,120
BI6503,2026,Nonresident,0,-1.0,-3.0,332
BI6503,2026,Resident,28,2.0,6.0,25
