permit_group,weapon,hunt_code,residency,permits_2025_truth,permits_2026_truth,permit_delta,significance,repo_public_permits_2026,repo_match_2026,source_document,source_note
"Escalante, East",Any Legal Weapon,DS6626,Resident,5,5,0,UNCHANGED,5,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"Escalante, East",Any Legal Weapon,DS6626,Nonresident,2,2,0,UNCHANGED,2,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"Escalante, West",Any Legal Weapon,DS6627,Resident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"Escalante, West",Any Legal Weapon,DS6627,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,DS6600,Resident,3,3,0,UNCHANGED,3,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
Henry Mtns,Any Legal Weapon,DS6600,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"Kaiparowits, East",Any Legal Weapon,DS6601,Resident,10,10,0,UNCHANGED,10,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"Kaiparowits, East",Any Legal Weapon,DS6601,Nonresident,2,3,1,MINOR,3,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"Kaiparowits, West",Any Legal Weapon,DS6603,Resident,4,3,-1,MINOR,3,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"Kaiparowits, West",Any Legal Weapon,DS6603,Nonresident,1,1,0,UNCHANGED,1,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"La Sal, Potash/South Cisco",Any Legal Weapon,DS6604,Resident,6,8,2,SIGNIFICANT,8,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
"La Sal, Potash/South Cisco",Any Legal Weapon,DS6604,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
Mineral Mtns,Any Legal Weapon,DS6625,Resident,3,4,1,MINOR,4,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
Mineral Mtns,Any Legal Weapon,DS6625,Nonresident,0,0,0,UNCHANGED,0,True,2026-05-user-verified-table,User-provided OIAL desert bighorn sheep comparison table for 2025 to 2026.
