hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total
BI1000,False,True,True,False,not_OIL_LE_PLE,Statewide,Bison,Bison - Statewide Permit,,,
BI6500,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Antelope Island,2,0,2
BI6503,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,4,2,6
BI6504,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,5,2,7
BI6505,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,8,3,11
BI6506,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,11,0,11
BI6509,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,5,0,5
BI6516,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,6,0,6
BI6517,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6519,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6520,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6521,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6523,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6524,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6526,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6527,False,True,True,False,not_OIL_LE_PLE,General Season,Bison,Nine Mile,,,
BI6528,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",6,0,6
BI6529,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",8,0,8
BI6530,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6531,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",10,0,10
BI6532,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Bitter Creek",6,0,6
BI6533,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
BI6534,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Bitter Creek",10,0,10
BI6535,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Bitter Creek",8,0,8
BI6536,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Bitter Creek",15,0,15
BI6537,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,"Book Cliffs, Little Creek/South",8,7,15
BI6538,False,True,True,False,not_OIL_LE_PLE,General Season,Bison,"Nine Mile, Private Lands Only",,,
BI6539,True,True,True,True,included_forecast,Once-in-a-lifetime,Bison,Henry Mtns,11,0,11
BR1000,False,True,True,False,not_OIL_LE_PLE,Statewide,Black Bear,Black Bear - Statewide Permit,,,
BR1001,False,True,True,False,not_OIL_LE_PLE,Harvest Objective,Black Bear,Black Bear Harvest Objective Units,,,
BR1007,False,True,True,False,not_OIL_LE_PLE,Pursuit,Black Bear,Black Bear Pursuit - Resident,,,
BR1008,False,True,True,False,not_OIL_LE_PLE,Restricted Pursuit - Summer,Black Bear,Book Cliffs,26,2,28
BR1009,False,True,True,False,not_OIL_LE_PLE,Restricted Pursuit - Summer,Black Bear,La Sal,14,1,15
BR1010,False,True,True,False,not_OIL_LE_PLE,Restricted Pursuit - Summer,Black Bear,San Juan,14,1,15
BR1011,False,True,True,False,not_OIL_LE_PLE,Restricted Pursuit - Late Summer,Black Bear,Book Cliffs,26,2,28
BR1012,False,True,True,False,not_OIL_LE_PLE,Restricted Pursuit - Late Summer,Black Bear,La Sal,14,1,15
