Hunt Name,Hunt Code,Sex,Species,Weapon,Hunt Type,Season,Non Res,Res,Total,Source Authority,Permit Status,Data Status,Notes
Beaver - Private Land Only,LP5025,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,"DWR Hunt Planner source confirmed private-land-only pronghorn row; no resident, nonresident or total permit allotment is published."
"Box Elder, West - Private Land Only",LP5031,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,"DWR Hunt Planner source confirmed private-land-only pronghorn row; no resident, nonresident or total permit allotment is published."
"Fillmore, Oak Creek South - Private Land Only",LP5033,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,"DWR Hunt Planner source confirmed private-land-only pronghorn row; no resident, nonresident or total permit allotment is published."
"San Rafael, North - Private Land Only",LP5046,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,"DWR Hunt Planner source confirmed private-land-only pronghorn row; no resident, nonresident or total permit allotment is published."
Southwest Desert - Private Land Only,LP5049,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,"DWR Hunt Planner source confirmed private-land-only pronghorn row; no resident, nonresident or total permit allotment is published."
"West Desert, Rush Valley - Private Land Only",LP5051,Buck,Pronghorn,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,"DWR Hunt Planner source confirmed private-land-only pronghorn row; no resident, nonresident or total permit allotment is published."
Pronghorn - Statewide Permit,PB1000,Buck,Pronghorn,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1 - Nov 15, 2026",,,1,Utah DWR Hunt Planner,TOTAL_ONLY,COMPLETE_TOTAL_ONLY,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
Beaver,PB5000,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,11,12,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Book Cliffs, Bitter Creek",PB5001,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,13,14,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Book Cliffs, South",PB5002,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,8,9,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, Promontory",PB5003,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,0,4,4,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, Puddle Valley",PB5004,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,3,4,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, Snowville",PB5005,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,9,10,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Box Elder, West",PB5006,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,1,10,11,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"Fillmore, Oak Creek South",PB5008,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,2,15,17,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
"La Sal, Potash/South Cisco",PB5009,Buck,Pronghorn,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,0,6,6,Utah DWR Hunt Planner,FULL_SPLIT,COMPLETE,Published 2026 pronghorn buck reference row from canonical Hunt Planner surface.
