path,directory,file_name,extension,size_bytes,size_mb,git_tracked,modified_status,sha256,likely_file_role,recommended_action,reason_code,online_needed,cloudflare_needed,github_needed,local_archive_needed,delete_candidate,notes
.gitattributes,,.gitattributes,.gitattributes,1075,0.001,TRUE,M,fa8720bc9b1203716561cdb0cc258b59b040ff0fb7663a00e859f7c902bea747,unclear_project_file,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
.gitignore,,.gitignore,.gitignore,979,0.001,TRUE,,2ec12e0639a7263659591579cbd2ab5e26ef4588f867e0e400c6edbb74254783,unclear_project_file,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,DUPLICATE_BASENAME_DIFFERENT_HASH
certs/localhost.crt,certs,localhost.crt,.crt,1196,0.001,TRUE,,db3b59c94581fe34e2402f52bd760f10f41f115dd39283dd171ac98e1ad41065,unclear_project_file,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
certs/localhost.key,certs,localhost.key,.key,1702,0.002,TRUE,,b7d289e52676cd02dba3600531fca25864ec6c593890341f4b8e387f14a8318a,unclear_project_file,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.cpg,data/2026BisonOnce_in_a_Lifetime2_SHAPE,aa7b7a.cpg,.cpg,5,0.000,TRUE,,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,canonical_or_site_data,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.dbf,data/2026BisonOnce_in_a_Lifetime2_SHAPE,aa7b7a.dbf,.dbf,6549,0.006,TRUE,,e0454837b9524930bfa0662e685a0d440512b90ef237114e3fa69a1e33ddbac6,canonical_or_site_data,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.prj,data/2026BisonOnce_in_a_Lifetime2_SHAPE,aa7b7a.prj,.prj,427,0.000,TRUE,,71c125e355ef7e1cba72ea4c3efe85ed18f93b810238aea60d78d8a685f94679,canonical_or_site_data,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.shp,data/2026BisonOnce_in_a_Lifetime2_SHAPE,aa7b7a.shp,.shp,286444,0.273,TRUE,,ed762e71683d8317111cf3de0566389b19068371134f1a82fedbcd7b81da2012,canonical_or_site_data,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.shx,data/2026BisonOnce_in_a_Lifetime2_SHAPE,aa7b7a.shx,.shx,140,0.000,TRUE,,11a5b1d6f5bbcbeae09e57755492dc66feb412aea7e2f4c6f367b77ce163b220,canonical_or_site_data,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.cpg,data/2026MountainGoatOnce_in_a_Lifetime SHAPE,a5a178.cpg,.cpg,5,0.000,TRUE,,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,canonical_or_site_data,REVIEW_REQUIRED,ROLE_UNCLEAR,FALSE,FALSE,FALSE,FALSE,FALSE,
