directory,file_count,size_bytes,size_mb
processed_data,3391,1710219768,1630.993
pipeline,1850,1204370932,1148.578
data,491,548604416,523.190
data_model,268,527218465,502.795
data_truth,230,143677051,137.021
assets,30,16562767,15.795
canonical,18,8872951,8.462
hunt-master-canonical-2026.json,1,6989741,6.666
generated,4,6690140,6.380
point_ladder_view.csv,1,2873050,2.740
scripts,175,1996412,1.904
tests,381,1763687,1.682
hunt_prediction_sync_bundle.zip,1,1710741,1.631
engine,140,1671980,1.595
elk_hunts_grouped.json,1,1443872,1.377
elk_hunts_clean.json,1,1409079,1.344
hunt-master-canonical-2026.coverage.json,1,1052442,1.004
utah-hunt-planner-master-all.md.txt,1,761787,0.726
hunt_master_canonical_2026_built.sqlite,1,720896,0.688
hunt_database_foundation_dwr_aligned.sqlite,1,708608,0.676
docs,24,450002,0.429
hunt_history_2025_2026_dwr_aligned.csv,1,396102,0.378
hunt_master_canonical_2026_built.csv,1,367463,0.350
app.js,1,223298,0.213
hunt_database_gaps.csv,1,215102,0.205
favicon.ico,1,151252,0.144
WORK_LOG.md,1,138182,0.132
package-lock.json,1,63280,0.060
hunt-research.js,1,61451,0.059
hunt-research.js.bak,1,60655,0.058
processed_data_hunt_database_2026_completeness_report.json,1,55253,0.053
lib,8,47062,0.045
research.html,1,41312,0.039
.pytest_cache,5,39585,0.038
hunt-research.txt,1,38010,0.036
style.css,1,36960,0.035
ui.js,1,32861,0.031
header-layout.js,1,28147,0.027
hard-copy.html,1,27504,0.026
HYBRID_ML_V1.md,1,26145,0.025
index.html,1,24766,0.024
HYBRID_ML_V1_ROLLOUT.md,1,24100,0.023
config.js,1,22523,0.021
data.js,1,20854,0.020
hard-data.html,1,19637,0.019
verify.html,1,19168,0.018
deer_2025_bonus_random_audit.csv,1,17743,0.017
__pycache__,1,16849,0.016
rebuild-engine-from-projection.js,1,14107,0.013
boundary-resolver.js,1,13702,0.013
schemas,7,13088,0.012
map-engine.js,1,10293,0.010
sync-upstream.js,1,10192,0.010
AGENTS.MD,1,9979,0.010
_exports,1,9339,0.009
coverage.html,1,8959,0.009
audit-normalized-staging.js,1,7620,0.007
scrub-workbook.js,1,7374,0.007
sleeper-report.js,1,7259,0.007
google-basemap.js,1,7106,0.007
coverage.js,1,6742,0.006
build-coverage-matrix.js,1,6442,0.006
catalog-raw-backups.js,1,6265,0.006
export-data.js,1,5782,0.006
extract-harvest-metrics.js,1,5672,0.005
ENGINE_RULES_SPEC.md,1,5571,0.005
scrub-pdf.js,1,5481,0.005
audit_2026_completeness.js,1,4640,0.004
engine_payload_manifest.json,1,3965,0.004
apply-2026-supplements.js,1,3720,0.004
event-handlers.js,1,3489,0.003
certs,2,2898,0.003
README_SYNC.md,1,2813,0.003
package.json,1,2803,0.003
server.js,1,2800,0.003
sync_to_github.sh,1,2105,0.002
Git Bash Here.lnk,1,1891,0.002
uoga-analytics.js,1,1742,0.002
config.local.js,1,1617,0.002
HARVEST_AND_REPORT_YEAR_RULES.md,1,1528,0.001
.gitattributes,1,1075,0.001
.gitignore,1,979,0.001
Canonical JSON rules.md,1,742,0.001
sentry-browser-init.js,1,728,0.001
embed-mode.js,1,590,0.001
hunt-research.html,1,568,0.001
vetting.html,1,560,0.001
builder.html,1,558,0.001
UPLOAD_README.txt,1,533,0.001
LOCKED_CANONICAL_2026.md,1,463,0.000
launch-https-python.ps1,1,337,0.000
ownership-dock.js,1,324,0.000
manifest.json,1,244,0.000
launch-https-server.ps1,1,215,0.000
start-https-server.bat,1,128,0.000
deer_2025_bonus_random_summary.csv,1,102,0.000
CNAME,1,23,0.000
.nojekyll,1,2,0.000
