hunt_code,hunt_name,species,residency,hunt_class,modeled_draw_probability,harvest_success_pct,permits_2026_total,sleeper_score,sleeper_reasons,data_limitations
BR7004,Manti South/San Rafael North,Black Bear,Resident,,18.3,63,18,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7014,San Juan,Black Bear,Resident,,49.5,33,38,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7100,Beaver,Black Bear,Resident,,6.3,80,10,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7105,Manti South/San Rafael North,Black Bear,Resident,,13.7,76,20,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7106,Nebo,Black Bear,Resident,,5.8,88,8,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7204,Manti South/San Rafael North,Black Bear,Resident,,21,53,20,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7220,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Resident,,5.4,44,9,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7221,Wasatch Mtns West-Central,Black Bear,Resident,,18.7,67,20,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7303,Manti North,Black Bear,Resident,,14.3,57,14,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7304,Manti South/San Rafael North,Black Bear,Resident,,14.6,47,20,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
BR7316,Wasatch Mtns West-Central,Black Bear,Resident,,17,53,15,4,better odds than peer median; harvest success above peer median; permit count at or above peer median; not an obvious marquee hunt name,
DA1001,"Box Elder, West Bear River",Deer,Resident,Antlerless,100,22.7,30,4,better odds than peer median; permit count at or above peer median; point creep not worse than peer median; not an obvious marquee hunt name,
DA1002,"Box Elder, West Bear River",Deer,Resident,Antlerless,67.7,17.6,30,4,better odds than peer median; permit count at or above peer median; point creep not worse than peer median; not an obvious marquee hunt name,
DA1009,"Pine Valley, Enterprise",Deer,Nonresident,Antlerless,0,100,25,4,harvest success above peer median; permit count at or above peer median; point creep not worse than peer median; not an obvious marquee hunt name,
