hunt_code,hunt_name,species,hunt_type,weapon,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_source_file
BR1001,Black Bear Harvest Objective Units,Black Bear,Harvest Objective,Any Legal Weapon,,,,,
BR1008,Book Cliffs,Black Bear,Restricted Pursuit - Summer,Pursuit Only,"July 5 - 16, 2026",26,2,28,
BR1009,La Sal,Black Bear,Restricted Pursuit - Summer,Pursuit Only,"July 5 - 16, 2026",14,1,15,
BR1010,San Juan,Black Bear,Restricted Pursuit - Summer,Pursuit Only,"July 5 - 16, 2026",14,1,15,
BR1011,Book Cliffs,Black Bear,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",26,2,28,
BR1012,La Sal,Black Bear,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",14,1,15,
BR1013,San Juan,Black Bear,Restricted Pursuit - Late Summer,Pursuit Only,"July 18 - July 31, 2026",14,1,15,
BR1015,Book Cliffs,Black Bear,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,
BR1016,San Juan,Black Bear,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,
BR1017,La Sal,Black Bear,Restricted Pursuit - Spring,Pursuit Only,"March 28 - May 25, 2026",0,2,2,
BR1018,Black Bear Pursuit - Nonresident,Black Bear,Pursuit,Pursuit Only,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,
BR7000,Beaver,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",9,1,10,
BR7001,Book Cliffs Bitter Creek/South,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",49,5,54,
BR7003,Manti North,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",17,2,19,
BR7004,Manti South/San Rafael North,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",18,0,18,
BR7005,Nebo,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,
BR7007,Fillmore Pahvant,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",1,0,1,
BR7009,Mt Dutton,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",4,0,4,
BR7010,Panguitch Lake/Zion,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",9,0,9,
BR7011,Paunsaugunt,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",4,0,4,
BR7012,Boulder/Kaiparowits,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",20,2,22,
BR7013,Fishlake/Thousand Lakes,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,
BR7014,San Juan,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",35,3,38,
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",7,0,7,
BR7016,Wasatch Mtns West-Central,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",36,4,40,
BR7017,Cache/Ogden,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",2,0,2,
